timestamp,move1,move2,winner
Ctest tutorial
2024-02-01T16:08:54.885Z,scissors,paper,p1
2024-02-01T16:09:10.548Z,scissors,rock,p2
2024-02-01T16:09:28.157Z,rock,paper,p2
2024-02-01T16:09:47.277Z,rock,rock,Draw
2024-02-01T16:10:03.889Z,scissors,scissors,Draw
2024-02-01T16:10:20.794Z,scissors,paper,p1
2024-02-01T16:10:36.718Z,paper,rock,p1
2024-02-01T16:10:51.769Z,rock,rock,Draw
2024-02-01T16:11:08.815Z,scissors,paper,p1
C3 - blind
2024-02-01T16:12:28.518Z,scissors,rock,p2
2024-02-01T16:12:51.156Z,rock,scissors,p1
2024-02-01T16:13:06.851Z,rock,paper,p2
2024-02-01T16:13:26.490Z,paper,rock,p1
2024-02-01T16:13:44.131Z,paper,scissors,p2
2024-02-01T16:14:04.193Z,rock,rock,Draw
2024-02-01T16:14:21.502Z,scissors,scissors,Draw
2024-02-01T16:14:39.502Z,scissors,scissors,Draw
2024-02-01T16:14:56.809Z,paper,scissors,p2
2024-02-01T16:15:12.499Z,paper,paper,Draw
2024-02-01T16:15:31.901Z,rock,rock,Draw
2024-02-01T16:15:50.025Z,scissors,scissors,Draw
2024-02-01T16:16:07.299Z,rock,scissors,p1
2024-02-01T16:16:22.760Z,rock,rock,Draw
2024-02-01T16:16:40.281Z,paper,scissors,p2
C4 - tutorial
2024-02-01T16:45:29.715Z,invalid,scissors,Invalid move
2024-02-01T16:46:16.962Z,scissors,rock,p2
2024-02-01T16:46:38.541Z,rock,rock,Draw
C4 - blind
2024-02-01T16:48:05.362Z,rock,rock,Draw
2024-02-01T16:48:46.490Z,scissors,scissors,Draw
2024-02-01T16:49:05.637Z,paper,scissors,p2
2024-02-01T16:49:22.950Z,rock,paper,p2
2024-02-01T16:49:40.338Z,scissors,rock,p2
2024-02-01T16:49:56.384Z,rock,paper,p2
2024-02-01T16:50:12.048Z,scissors,scissors,Draw
2024-02-01T16:50:31.724Z,paper,rock,p1
2024-02-01T16:50:46.355Z,rock,invalid,Invalid move
2024-02-01T16:51:20.451Z,scissors,rock,p2
2024-02-01T16:51:38.945Z,rock,paper,p2
C4 - not blind
2024-02-01T16:52:19.577Z,scissors,invalid,Invalid move
2024-02-01T16:52:51.642Z,rock,paper,p2
2024-02-01T16:53:10.403Z,scissors,scissors,Draw
2024-02-01T16:53:27.361Z,invalid,rock,Invalid move
2024-02-01T16:53:47.000Z,paper,paper,Draw
2024-02-01T16:54:04.269Z,scissors,rock,p2
2024-02-01T16:54:19.043Z,rock,paper,p2
2024-02-01T16:54:35.770Z,scissors,scissors,Draw
2024-02-01T16:54:52.494Z,rock,paper,p2
2024-02-01T16:55:06.863Z,rock,scissors,p1
2024-02-01T16:55:25.265Z,paper,rock,p1
2024-02-01T16:55:39.048Z,scissors,paper,p1
C5 - tutorial
2024-02-01T17:13:13.856Z,rock,scissors,p1
2024-02-01T17:13:36.626Z,scissors,rock,p2
2024-02-01T17:13:55.281Z,paper,paper,Draw
C5 - not blind
2024-02-01T17:14:43.338Z,paper,rock,p1
2024-02-01T17:15:00.098Z,paper,paper,Draw
2024-02-01T17:15:19.043Z,rock,scissors,p1
2024-02-01T17:15:34.530Z,scissors,scissors,Draw
2024-02-01T17:15:51.897Z,paper,scissors,p2
2024-02-01T17:16:09.005Z,rock,scissors,p1
2024-02-01T17:16:25.977Z,paper,paper,Draw
2024-02-01T17:16:44.740Z,scissors,scissors,Draw
2024-02-01T17:17:03.903Z,paper,scissors,p2
2024-02-01T17:17:20.235Z,paper,scissors,p2
2024-02-01T17:17:40.814Z,scissors,paper,p1
2024-02-01T17:17:56.236Z,rock,rock,Draw
2024-02-01T17:18:12.815Z,scissors,scissors,Draw
2024-02-01T17:18:30.150Z,paper,scissors,p2
2024-02-01T17:18:46.542Z,paper,rock,p1
C5 - blind
2024-02-01T17:20:03.902Z,rock,scissors,p1
2024-02-01T17:20:19.204Z,scissors,scissors,Draw
2024-02-01T17:20:42.509Z,paper,paper,Draw
2024-02-01T17:21:05.765Z,rock,rock,Draw
2024-02-01T17:21:23.759Z,paper,paper,Draw
2024-02-01T17:21:41.064Z,scissors,rock,p2
2024-02-01T17:21:55.576Z,rock,rock,Draw
2024-02-01T17:22:12.267Z,scissors,scissors,Draw
2024-02-01T17:22:29.318Z,scissors,scissors,Draw
2024-02-01T17:22:52.934Z,rock,paper,p2
2024-02-01T17:23:12.307Z,scissors,scissors,Draw
2024-02-01T17:23:36.433Z,rock,rock,Draw
2024-02-01T17:24:02.538Z,paper,scissors,p2
2024-02-01T17:24:18.231Z,scissors,rock,p2
2024-02-01T17:24:36.171Z,scissors,paper,p1
C6 - tutorial
2024-02-01T17:54:35.673Z,rock,scissors,p1
2024-02-01T17:54:59.605Z,scissors,rock,p2
2024-02-01T17:55:18.876Z,paper,paper,Draw
C6 - blind
2024-02-01T17:56:27.242Z,paper,rock,p1
2024-02-01T17:57:01.151Z,paper,scissors,p2
2024-02-01T17:57:17.850Z,rock,scissors,p1
2024-02-01T17:58:06.525Z,scissors,paper,p1
2024-02-01T17:58:32.601Z,paper,rock,p1
2024-02-01T17:58:48.569Z,scissors,scissors,Draw
2024-02-01T17:59:06.416Z,invalid,scissors,Invalid move
2024-02-01T17:59:43.673Z,rock,rock,Draw
2024-02-01T18:00:03.131Z,paper,paper,Draw
2024-02-01T18:00:24.610Z,paper,scissors,p2
2024-02-01T18:00:43.195Z,invalid,rock,Invalid move
2024-02-01T18:01:04.829Z,paper,rock,p1
C6 - not blind
2024-02-01T18:01:57.432Z,paper,scissors,p2
2024-02-01T18:02:17.723Z,paper,paper,Draw
2024-02-01T18:02:41.018Z,rock,rock,Draw
2024-02-01T18:02:58.413Z,scissors,paper,p1
2024-02-01T18:03:14.571Z,paper,paper,Draw
2024-02-01T18:03:35.870Z,rock,scissors,p1
2024-02-01T18:03:50.694Z,paper,scissors,p2
2024-02-01T18:04:05.490Z,rock,rock,Draw
2024-02-01T18:04:24.943Z,paper,paper,Draw
2024-02-01T18:04:45.217Z,paper,scissors,p2
C7 - tutorial
2024-02-01T18:30:36.739Z,rock,scissors,p1
2024-02-01T18:31:05.017Z,scissors,rock,p2
2024-02-01T18:31:32.640Z,paper,paper,Draw
C7 - not blind
2024-02-01T18:32:21.848Z,scissors,rock,p2
2024-02-01T18:32:39.982Z,paper,scissors,p2
2024-02-01T18:32:56.162Z,rock,rock,Draw
2024-02-01T18:33:13.367Z,rock,paper,p2
2024-02-01T18:33:28.926Z,scissors,scissors,Draw
2024-02-01T18:33:47.734Z,paper,rock,p1
2024-02-01T18:34:03.398Z,scissors,scissors,Draw
2024-02-01T18:34:22.351Z,paper,rock,p1
2024-02-01T18:34:38.100Z,rock,paper,p2
2024-02-01T18:34:53.739Z,paper,scissors,p2
C7 - blind
2024-02-01T18:35:41.404Z,rock,invalid,Invalid move
2024-02-01T18:36:02.411Z,rock,scissors,p1
2024-02-01T18:36:19.236Z,paper,scissors,p2
2024-02-01T18:36:34.457Z,scissors,rock,p2
2024-02-01T18:36:50.868Z,rock,paper,p2
2024-02-01T18:37:08.478Z,scissors,scissors,Draw
2024-02-01T18:37:25.772Z,paper,paper,Draw
2024-02-01T18:37:42.990Z,paper,scissors,p2
2024-02-01T18:38:02.018Z,scissors,rock,p2
2024-02-01T18:38:16.800Z,rock,scissors,p1
2024-02-01T18:38:31.615Z,paper,rock,p1
C8 - tutorial
2024-02-03T14:10:17.264Z,rock,scissors,p1
2024-02-03T14:10:46.838Z,scissors,rock,p2
2024-02-03T14:11:13.718Z,paper,paper,Draw
C8 - blind
2024-02-03T14:12:52.817Z,rock,scissors,p1
2024-02-03T14:13:10.500Z,scissors,paper,p1
2024-02-03T14:13:29.921Z,rock,rock,Draw
2024-02-03T14:13:47.543Z,paper,scissors,p2
2024-02-03T14:14:04.816Z,paper,rock,p1
2024-02-03T14:14:20.558Z,scissors,rock,p2
2024-02-03T14:14:36.039Z,scissors,paper,p1
2024-02-03T14:14:52.046Z,rock,scissors,p1
2024-02-03T14:15:10.469Z,paper,paper,Draw
2024-02-03T14:15:30.302Z,rock,rock,Draw
2024-02-03T14:15:46.578Z,scissors,scissors,Draw
2024-02-03T14:16:05.221Z,rock,rock,Draw
2024-02-03T14:16:23.246Z,scissors,paper,p1
2024-02-03T14:16:41.220Z,paper,scissors,p2
C8 - not blind
2024-02-03T14:17:37.977Z,scissors,rock,p2
2024-02-03T14:17:56.270Z,scissors,paper,p1
2024-02-03T14:18:16.332Z,rock,paper,p2
2024-02-03T14:18:33.695Z,rock,rock,Draw
2024-02-03T14:18:50.280Z,scissors,scissors,Draw
2024-02-03T14:19:09.722Z,paper,paper,Draw
2024-02-03T14:19:28.377Z,rock,invalid,Invalid move
2024-02-03T14:20:11.116Z,scissors,paper,p1
2024-02-03T14:20:30.144Z,rock,scissors,p1
2024-02-03T14:21:02.686Z,paper,rock,p2
2024-02-03T14:21:41.880Z,rock,rock,Draw
2024-02-03T14:22:08.852Z,scissors,rock,p2
C9 - tutorial
2024-02-03T14:37:24.378Z,rock,scissors,p1
2024-02-03T14:37:44.280Z,scissors,rock,p2
